"model_id","display_name","backend","seed","frames","class_balanced_loss","class_weights","acc","macro_f1","bacc","clips_s","ms_clip","peak_mem_mb","status","log_path"
"videomae_v2_vitb_8f","VideoMAE V2 ViT-B 8f","mmaction2","1024","8","False","","88.043","86.113","83.666","88.970","11.240","1238.100","parsed",""
"videomae_v2_vitb_8f","VideoMAE V2 ViT-B 8f","mmaction2","1025","8","False","","91.304","87.574","85.521","89.320","11.200","1238.100","parsed",""
"videomae_v2_vitb_8f","VideoMAE V2 ViT-B 8f","mmaction2","1026","8","False","","91.848","88.771","87.509","89.320","11.200","1238.100","parsed",""
"video_swin_base_8f","Video Swin-B 8f","mmaction2","1024","8","False","","92.935","92.656","91.042","67.240","14.870","2085.000","parsed",""
"video_swin_base_8f","Video Swin-B 8f","mmaction2","1025","8","False","","91.033","91.912","90.322","68.000","14.710","2085.000","parsed",""
"video_swin_base_8f","Video Swin-B 8f","mmaction2","1026","8","False","","87.500","90.605","90.281","67.520","14.810","2085.000","parsed",""
"slowfast_r101_8f","SlowFast R101 8f","mmaction2","1024","8","False","","88.587","84.389","78.802","174.120","5.740","660.700","parsed",""
"slowfast_r101_8f","SlowFast R101 8f","mmaction2","1025","8","False","","80.978","67.938","63.333","168.290","5.940","660.700","parsed",""
"slowfast_r101_8f","SlowFast R101 8f","mmaction2","1026","8","False","","86.685","82.731","77.917","172.300","5.800","660.700","parsed",""
"timesformer_divst_8f","TimeSformer DivST ViT-B 8f","mmaction2","1024","8","False","","","","","","","","missing_or_unparsed",""
"timesformer_divst_8f","TimeSformer DivST ViT-B 8f","mmaction2","1025","8","False","","","","","","","","missing_or_unparsed",""
"timesformer_divst_8f","TimeSformer DivST ViT-B 8f","mmaction2","1026","8","False","","","","","","","","missing_or_unparsed",""
"vifi_clip_8f","ViFi-CLIP 8f","vifi_clip","1024","8","False","","","","","","","","missing_or_unparsed",""
"vifi_clip_8f","ViFi-CLIP 8f","vifi_clip","1025","8","False","","","","","","","","missing_or_unparsed",""
"vifi_clip_8f","ViFi-CLIP 8f","vifi_clip","1026","8","False","","","","","","","","missing_or_unparsed",""
"videomae_v2_vitb","VideoMAE V2 ViT-B 16f","mmaction2","1024","16","False","","","","","","","","missing_or_unparsed",""
"videomae_v2_vitb","VideoMAE V2 ViT-B 16f","mmaction2","1025","16","False","","","","","","","","missing_or_unparsed",""
"videomae_v2_vitb","VideoMAE V2 ViT-B 16f","mmaction2","1026","16","False","","","","","","","","missing_or_unparsed",""
"video_swin_base","Video Swin-B 32f","mmaction2","1024","32","False","","","","","","","","missing_or_unparsed",""
"video_swin_base","Video Swin-B 32f","mmaction2","1025","32","False","","","","","","","","missing_or_unparsed",""
"video_swin_base","Video Swin-B 32f","mmaction2","1026","32","False","","","","","","","","missing_or_unparsed",""
"slowfast_r101","SlowFast R101 32f","mmaction2","1024","32","False","","","","","","","","missing_or_unparsed",""
"slowfast_r101","SlowFast R101 32f","mmaction2","1025","32","False","","","","","","","","missing_or_unparsed",""
"slowfast_r101","SlowFast R101 32f","mmaction2","1026","32","False","","","","","","","","missing_or_unparsed",""
"vifi_clip_16f","ViFi-CLIP 16f","vifi_clip","1024","16","False","","","","","","","","missing_or_unparsed",""
"vifi_clip_16f","ViFi-CLIP 16f","vifi_clip","1025","16","False","","","","","","","","missing_or_unparsed",""
"vifi_clip_16f","ViFi-CLIP 16f","vifi_clip","1026","16","False","","","","","","","","missing_or_unparsed",""
"tc_clip_uniform8_existing","TC-CLIP Uniform-8 existing","tc_clip_existing","1024","8","False","","76.630","82.499","82.337","1.980","505.720","1497.400","parsed",""
"tc_clip_uniform8_existing","TC-CLIP Uniform-8 existing","tc_clip_existing","1025","8","False","","81.250","85.662","85.269","2.090","478.420","1497.400","parsed",""
"tc_clip_uniform8_existing","TC-CLIP Uniform-8 existing","tc_clip_existing","1026","8","False","","75.543","83.627","85.281","2.180","459.560","1497.400","parsed",""
"tc_clip_motion8_existing","TC-CLIP Motion-only-8 existing","tc_clip_existing","1024","8","False","","94.022","95.336","94.529","2.010","498.420","1497.400","parsed",""
"tc_clip_motion8_existing","TC-CLIP Motion-only-8 existing","tc_clip_existing","1025","8","False","","96.196","97.010","96.488","2.010","497.720","1497.400","parsed",""
"tc_clip_motion8_existing","TC-CLIP Motion-only-8 existing","tc_clip_existing","1026","8","False","","96.196","97.036","96.737","2.030","493.290","1497.400","parsed",""
"tc_clip_uniform8_delta_existing","TC-CLIP Uniform-8 + TemporalDeltaHead existing","tc_clip_existing","1024","8","False","","95.109","96.433","96.433","2.240","446.180","1501.700","parsed",""
"tc_clip_uniform8_delta_existing","TC-CLIP Uniform-8 + TemporalDeltaHead existing","tc_clip_existing","1025","8","False","","95.924","96.939","96.343","2.150","465.620","1501.700","parsed",""
"tc_clip_uniform8_delta_existing","TC-CLIP Uniform-8 + TemporalDeltaHead existing","tc_clip_existing","1026","8","False","","95.109","96.415","96.309","2.180","458.240","1501.700","parsed",""
"tc_clip_motion8_delta_existing","TC-CLIP Motion-only-8 + TemporalDeltaHead existing","tc_clip_existing","1024","8","False","","97.283","97.838","97.654","2.190","456.410","1501.700","parsed",""
"tc_clip_motion8_delta_existing","TC-CLIP Motion-only-8 + TemporalDeltaHead existing","tc_clip_existing","1025","8","False","","97.283","97.998","97.769","2.310","432.920","1501.700","parsed",""
"tc_clip_motion8_delta_existing","TC-CLIP Motion-only-8 + TemporalDeltaHead existing","tc_clip_existing","1026","8","False","","96.739","97.422","97.009","2.190","456.520","1501.700","parsed",""
