class,strategy,sample_order,frame_index
drink,Uniform-8,1,13
drink,Uniform-8,2,40
drink,Uniform-8,3,66
drink,Uniform-8,4,93
drink,Uniform-8,5,120
drink,Uniform-8,6,147
drink,Uniform-8,7,173
drink,Uniform-8,8,200
drink,Motion-8,1,14
drink,Motion-8,2,36
drink,Motion-8,3,73
drink,Motion-8,4,91
drink,Motion-8,5,127
drink,Motion-8,6,159
drink,Motion-8,7,163
drink,Motion-8,8,195
open,Uniform-8,1,14
open,Uniform-8,2,42
open,Uniform-8,3,70
open,Uniform-8,4,98
open,Uniform-8,5,126
open,Uniform-8,6,154
open,Uniform-8,7,182
open,Uniform-8,8,210
open,Motion-8,1,10
open,Motion-8,2,48
open,Motion-8,3,67
open,Motion-8,4,105
open,Motion-8,5,124
open,Motion-8,6,143
open,Motion-8,7,191
open,Motion-8,8,219
purchase,Uniform-8,1,5
purchase,Uniform-8,2,16
purchase,Uniform-8,3,27
purchase,Uniform-8,4,38
purchase,Uniform-8,5,48
purchase,Uniform-8,6,59
purchase,Uniform-8,7,70
purchase,Uniform-8,8,81
purchase,Motion-8,1,2
purchase,Motion-8,2,20
purchase,Motion-8,3,29
purchase,Motion-8,4,33
purchase,Motion-8,5,51
purchase,Motion-8,6,64
purchase,Motion-8,7,68
purchase,Motion-8,8,77
putback,Uniform-8,1,8
putback,Uniform-8,2,24
putback,Uniform-8,3,40
putback,Uniform-8,4,56
putback,Uniform-8,5,72
putback,Uniform-8,6,88
putback,Uniform-8,7,104
putback,Uniform-8,8,120
putback,Motion-8,1,11
putback,Motion-8,2,25
putback,Motion-8,3,41
putback,Motion-8,4,52
putback,Motion-8,5,79
putback,Motion-8,6,82
putback,Motion-8,7,112
putback,Motion-8,8,120
