protocol,true_class,predicted_class,count,row_percent
Multi-view,drink,drink,144,100.000
Multi-view,drink,open,0,0.000
Multi-view,drink,purchase,0,0.000
Multi-view,drink,putback,0,0.000
Multi-view,open,drink,0,0.000
Multi-view,open,open,118,98.333
Multi-view,open,purchase,2,1.667
Multi-view,open,putback,0,0.000
Multi-view,purchase,drink,0,0.000
Multi-view,purchase,open,0,0.000
Multi-view,purchase,purchase,540,97.826
Multi-view,purchase,putback,12,2.174
Multi-view,putback,drink,0,0.000
Multi-view,putback,open,0,0.000
Multi-view,putback,purchase,18,6.250
Multi-view,putback,putback,270,93.750
Single-view,drink,drink,144,100.000
Single-view,drink,open,0,0.000
Single-view,drink,purchase,0,0.000
Single-view,drink,putback,0,0.000
Single-view,open,drink,0,0.000
Single-view,open,open,119,99.167
Single-view,open,purchase,1,0.833
Single-view,open,putback,0,0.000
Single-view,purchase,drink,0,0.000
Single-view,purchase,open,2,0.362
Single-view,purchase,purchase,532,96.377
Single-view,purchase,putback,18,3.261
Single-view,putback,drink,0,0.000
Single-view,putback,open,0,0.000
Single-view,putback,purchase,19,6.597
Single-view,putback,putback,269,93.403
